Player,Ratio
Maxi KleberDAL | C,3.81
Sam MerrillCLE | SG,3.81
Jimmy ButlerMIA | SF,3.81
Stephen CurryGSW | PG,3.81
T.J. McConnellIND | PG,3.81
Joe Harris| SG,3.175
Kenrich WilliamsOKC | SF,3.175
KJ MartinPHI | SF,3.175
Dalano BantonPOR | SG,3.175
Kevin HuerterSAC | SG,3.175
Filip Petrusev| PF,2.54
Jett HowardORL | SF,2.54
Domantas SabonisSAC | C,2.54
Gordon HaywardOKC | SF,2.54
Corey KispertWAS | SF,2.54
Evan FournierDET | SG,2.54
Brandon ClarkeMEM | PF,2.54
Dillon BrooksHOU | SF,2.54
Dean WadeCLE | PF,2.54
Christian BraunDEN | SF,2.54
Emoni BatesCLE | SF,1.905
Tre MannCHA | PG,1.905
Luke KennardMEM | SG,1.905
Amir CoffeyLAC | SF,1.27
Dario SaricGSW | PF,1.27
Santi AldamaMEM | PF,0.635
Luke KornetBOS | C,0
Davis BertansCHA | PF,0
Lauri MarkkanenUTA | PF,0
Deni AvdijaWAS | SF,-0.635
Mason PlumleeLAC | C,-0.635
Ty JeromeCLE | PG,-0.635
Josh GiddeyOKC | SF,-1.27
Desmond BaneMEM | SG,-1.905
Kelly OlynykTOR | C,-2.54
Kyle KuzmaWAS | PF,-2.54
Tyler HerroMIA | SG,-3.175
Svi MykhailiukBOS | SG,-3.81
